Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,H2060612,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,1/12/23 15:06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Jez US LUM 384 (cps),0,136,0.25,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
B,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
C,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
D,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
E,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
F,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
G,0.58548768350,0.58548768350,,,,,,,,,,,,,,,,,,,,,0.58548768350,0.58548768350
