,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,,
1,1,1,5035,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/19/23 15:02,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,
9,A,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
10,B,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
11,C,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
12,D,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
13,E,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
14,F,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
15,G,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
16,H,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
17,I,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
18,J,0.895379328,0.895379328,,,,,,,,,,,,,,,,,,,,,,0.895379328,,,,,,,
